0001	Fry's Electronics
0832	Kouwell Electronics Corp.
0833	Sourcenext Corp.
0835	Action Star Enterprise Co., Ltd
0836	TrekStor
0839	Samsung Techwin Co., Ltd
083A	Accton Technology Corp.
083F	Global Village
0840	Argosy Research, Inc.
0841	Rioport.com, Inc.
0844	Welland Industrial Co., Ltd
0846	NetGear, Inc.
084D	Minton Optic Industry Co., Inc.
084E	KB Gear
084F	Empeg
0850	Fast Point Technologies, Inc.
0851	Macronix International Co., Ltd
0852	CSEM
0853	Topre Corporation
0854	ActiveWire, Inc.
0856	B&B Electronics
0858	Hitachi Maxell, Ltd
0859	Minolta Systems Laboratory, Inc.
085A	Xircom
085C	ColorVision, Inc.
0862	Teletrol Systems, Inc.
0863	Filanet Corp.
0864	NetGear, Inc.
0867	Data Translation, Inc.
086A	Emagic Soft- und Hardware GmbH
086C	DeTeWe - Deutsche Telephonwerke AG & Co.
086E	System TALKS, Inc.
086F	MEC IMEX, Inc.
0870	Metricom
0871	SanDisk, Inc.
0873	Xpeed, Inc.
0874	A-Tec Subsystem, Inc.
0879	Comtrol Corp.
087C	Adesso/Kbtek America, Inc.
087D	Jaton Corp.
087E	Fujitsu Computer Products of America
087F	QualCore Logic Inc.
0880	APT Technologies, Inc.
0883	Recording Industry Association of America (RIAA)
0885	Boca Research, Inc.
0886	XAC Automation Corp.
0887	Hannstar Electronics Corp.
088A	TechTools
088B	MassWorks, Inc.
088C	Swecoin AB
088E	iLok
0892	DioGraphy, Inc.
0894	TSI Incorporated
0897	Lauterbach
089C	United Technologies Research Cntr.
089D	Icron Technologies Corp.
089E	NST Co., Ltd
089F	Primex Aerospace Co.
08A5	e9, Inc.
08A6	Toshiba TEC
08A8	Andrea Electronics
08A9	CWAV Inc.
08AC	Macraigor Systems LLC
08AE	Macally (Mace Group, Inc.)
08B0	Metrohm
08B4	Sorenson Vision, Inc.
08B7	NATSU
08B8	J. Gordon Electronic Design, Inc.
08B9	RadioShack Corp. (Tandy)
08BB	Texas Instruments
08BD	Citizen Watch Co., Ltd
08C3	Precise Biometrics
08C4	Proxim, Inc.
08C7	Key Nice Enterprise Co., Ltd
08C8	2Wire, Inc.
08C9	Nippon Telegraph and Telephone Corp.
08CA	Aiptek International, Inc.
08CD	Jue Hsun Ind. Corp.
08CE	Long Well Electronics Corp.
08CF	Productivity Enhancement Products
08D1	smartBridges, Inc.
08D3	Virtual Ink
08D4	Fujitsu Siemens Computers
08D8	IXXAT Automation GmbH
08D9	Increment P Corp.
08DD	Billionton Systems, Inc.
08DE	???
08DF	Spyrus, Inc.
08E3	Olitec, Inc.
08E4	Pioneer Corp.
08E5	Litronic
08E6	Gemalto (was Gemplus)
08E7	Pan-International Wire & Cable
08E8	Integrated Memory Logic
08E9	Extended Systems, Inc.
08EA	Ericsson, Inc., Blue Ridge Labs
08EC	M-Systems Flash Disk Pioneers
08ED	MediaTek Inc.
08EE	CCSI/Hesso
08F0	Corex Technologies
08F1	CTI Electronics Corp.
08F2	Gotop Information Inc.
08F5	SysTec Co., Ltd
08F6	Logic 3 International, Ltd
08F7	Vernier
08F8	Keen Top International Enterprise Co., Ltd
08F9	Wipro Technologies
08FA	Caere
08FB	Socket Communications
08FC	Sicon Cable Technology Co., Ltd
08FD	Digianswer A/S
08FF	AuthenTec, Inc.
0900	Pinnacle Systems, Inc.
0901	VST Technologies
0906	Faraday Technology Corp.
0908	Siemens AG
0909	Audio-Technica Corp.
090A	Trumpion Microelectronics, Inc.
090B	Neurosmith
090C	Silicon Motion, Inc. - Taiwan (formerly Feiya Technology Corp.)
090D	Multiport Computer Vertriebs GmbH
090E	Shining Technology, Inc.
090F	Fujitsu Devices, Inc.
0910	Alation Systems, Inc.
0911	Philips Speech Processing
0912	Voquette, Inc.
0915	GlobeSpan, Inc.
0917	SmartDisk Corp.
0919	Tiger Electronics
091E	Garmin International
0920	Echelon Co.
0921	GoHubs, Inc.
0922	Dymo-CoStar Corp.
0923	IC Media Corp.
0924	Xerox
0925	Lakeview Research
0927	Summus, Ltd
0928	PLX Technology, Inc. (formerly Oxford Semiconductor, Ltd)
0929	American Biometric Co.
092A	Toshiba Information & Industrial Sys. And Services
092B	Sena Technologies, Inc.
092F	Northern Embedded Science/CAVNEX
0930	Toshiba Corp.
0931	Harmonic Data Systems, Ltd
0932	Crescentec Corp.
0933	Quantum Corp.
0934	Spirent Communications
0936	NuTesla
0939	Lumberg, Inc.
093A	Pixart Imaging, Inc.
093B	Plextor Corp.
093C	Intrepid Control Systems, Inc.
093D	InnoSync, Inc.
093E	J.S.T. Mfg. Co., Ltd
093F	Olympia Telecom Vertriebs GmbH
0940	Japan Storage Battery Co., Ltd
0941	Photobit Corp.
0942	i2Go.com, LLC
0943	HCL Technologies India Private, Ltd
0944	KORG, Inc.
0945	Pasco Scientific
0948	Kronauer music in digital
094B	Linkup Systems Corp.
094D	Cable Television Laboratories
094F	Yano
0951	Kingston Technology
0954	RPM Systems Corp.
0955	NVIDIA Corp.
0956	BSquare Corp.
0957	Agilent Technologies, Inc.
0958	CompuLink Research, Inc.
0959	Cologne Chip AG
095A	Portsmith
095B	Medialogic Corp.
095C	K-Tec Electronics
095D	Polycom, Inc.
0964	BITRAN
0967	Acer NeWeb Corp.
0968	Catalyst Enterprises, Inc.
096E	Feitian Technologies, Inc.
0971	Gretag-Macbeth AG
0973	Schlumberger
0974	Datagraphix, a business unit of Anacomp
0975	OL'E Communications, Inc.
0976	Adirondack Wire & Cable
0977	Lightsurf Technologies
0978	Beckhoff GmbH
0979	Jeilin Technology Corp., Ltd
097A	Minds At Work LLC
097B	Knudsen Engineering, Ltd
097C	Marunix Co., Ltd
097D	Rosun Technologies, Inc.
097E	Biopac Systems Inc.
097F	Barun Electronics Co., Ltd
0981	Oak Technology, Ltd
0984	Apricorn
0985	cab Produkttechnik GmbH & Co KG
0986	Matsushita Electric Works, Ltd.
098C	Vitana Corp.
098D	INDesign
098E	Integrated Intellectual Property, Inc.
098F	Kenwood TMI Corp.
0993	Gemstar eBook Group, Ltd
0996	Integrated Telecom Express, Inc.
099A	Zippy Technology Corp.
099E	Trimble Navigation, Ltd
09A3	PairGain Technologies
09A4	Contech Research, Inc.
09A5	VCON Telecommunications
09A6	Poinchips
09A7	Data Transmission Network Corp.
09A8	Lin Shiung Enterprise Co., Ltd
09A9	Smart Card Technologies Co., Ltd
09AA	Intersil Corp.
09AB	Japan Cash Machine Co., Ltd.
09AE	Tripp Lite
09B0	Fargo
09B2	Franklin Electronic Publishers, Inc.
09B3	Altius Solutions, Inc.
09B4	MDS Telephone Systems
09B5	Celltrix Technology Co., Ltd
09BC	Grundig
09BE	MySmart.Com
09BF	Auerswald GmbH & Co. KG
09C0	Genpix Electronics, LLC
09C1	Arris Interactive LLC
09C2	Nisca Corp.
09C3	HID Global
09C4	ACTiSYS Corp.
09C5	Memory Corp.
09CA	BMC Messsysteme GmbH
09CB	FLIR Systems
09CC	Workbit Corp.
09CD	Psion Dacom Home Networks, Ltd
09CE	City Electronics, Ltd
09CF	Electronics Testing Center, Taiwan
09D1	NeoMagic, Inc.
09D2	Vreelin Engineering, Inc.
09D3	Com One
09D7	Hexagon NovAtel Inc.
09D8	ELATEC GmbH
09D9	KRF Tech, Ltd
09DA	A4Tech Co., Ltd.
09DB	Measurement Computing Corp.
09DC	Aimex Corp.
09DD	Fellowes, Inc.
09DF	Addonics Technologies Corp.
09E1	Intellon Corp.
09E5	Jo-Dan International, Inc.
09E6	Silutia, Inc.
09E7	Real 3D, Inc.
09E8	AKAI Professional M.I. Corp.
09E9	Chen-Source, Inc.
09EB	IM Networks, Inc.
09EF	Xitel
09F3	GoFlight, Inc.
09F5	AresCom
09F6	RocketChips, Inc.
09F7	Edu-Science (H.K.), Ltd
09F8	SoftConnex Technologies, Inc.
09F9	Bay Associates
09FA	Mtek Vision
09FB	Altera
09FF	Gain Technology Corp.
0A00	Liquid Audio
0A01	ViA, Inc.
0A05	Unknown Manufacturer
0A07	Ontrak Control Systems Inc.
0A0B	Cybex Computer Products Co.
0A0D	Servergy, Inc
0A11	Xentec, Inc.
0A12	Cambridge Silicon Radio, Ltd
0A13	Telebyte, Inc.
0A14	Spacelabs Medical, Inc.
0A15	Scalar Corp.
0A16	Trek Technology (S) PTE, Ltd
0A17	Pentax Corp.
0A18	Heidelberger Druckmaschinen AG
0A19	Hua Geng Technologies, Inc.
0A21	Medtronic Physio Control Corp.
0A22	Century Semiconductor USA, Inc.
0A27	Datacard Group
0A2C	AK-Modul-Bus Computer GmbH
0A34	TG3 Electronics, Inc.
0A35	Radikal Technologies
0A38	IRIS sa
0A39	Gilat Satellite Networks, Ltd
0A3A	PentaMedia Co., Ltd
0A3C	NTT DoCoMo, Inc.
0A3D	Varo Vision
0A3F	Swissonic AG
0A43	Boca Systems, Inc.
0A46	Davicom Semiconductor, Inc.
0A47	Hirose Electric
0A48	I/O Interconnect
0A4A	Ploytec GmbH
0A4B	Fujitsu Media Devices, Ltd
0A4C	Computex Co., Ltd
0A4D	Evolution Electronics, Ltd
0A4E	Steinberg Soft-und Hardware GmbH
0A4F	Litton Systems, Inc.
0A50	Mimaki Engineering Co., Ltd
0A51	Sony Electronics, Inc.
0A52	Jebsee Electronics Co., Ltd
0A53	Portable Peripheral Co., Ltd
0A5A	Electronics For Imaging, Inc.
0A5B	EAsics NV
0A5C	Broadcom Corp.
0A5D	Diatrend Corp.
0A5F	Zebra Technologies
0A62	MPMan
0A66	ClearCube Technology
0A67	Medeli Electronics Co., Ltd
0A68	Comaide Corp.
0A69	Chroma ate, Inc.
0A6B	Green House Co., Ltd
0A6C	Integrated Circuit Systems, Inc.
0A6D	UPS Manufacturing
0A6E	Benwin
0A6F	Core Technology, Inc.
0A70	International Game Technology
0A71	VIPColor Technologies USA, Inc.
0A72	Sanwa Denshi
0A73	Mackie Designs
0A7D	NSTL, Inc.
0A7E	Octagon Systems Corp.
0A80	Rexon Technology Corp., Ltd
0A81	Chesen Electronics Corp.
0A82	Syscan
0A83	NextComm, Inc.
0A84	Maui Innovative Peripherals
0A85	Idexx Labs
0A86	NITGen Co., Ltd
0A89	Aktiv
0A8D	Picturetel
0A8E	Japan Aviation Electronics Industry, Ltd
0A90	Candy Technology Co., Ltd
0A91	Globlink Technology, Inc.
0A92	EGO SYStems, Inc.
0A93	C Technologies AB
0A94	Intersense
0AA3	Lava Computer Mfg., Inc.
0AA4	Develco Elektronik
0AA5	First International Digital
0AA6	Perception Digital, Ltd
0AA7	Wincor Nixdorf International GmbH
0AA8	TriGem Computer, Inc.
0AA9	Baromtec Co.
0AAA	Japan CBM Corp.
0AAB	Vision Shape Europe SA
0AAC	iCompression, Inc.
0AAD	Rohde & Schwarz GmbH & Co. KG
0AAE	NEC infrontia Corp. (Nitsuko)
0AAF	Digitalway Co., Ltd
0AB0	Arrow Strong Electronics Co., Ltd
0AB1	FEIG ELECTRONIC GmbH
0ABA	Ellisys
0ABE	Stereo-Link
0ABF	Diolan
0AC3	Sanyo Semiconductor Company Micro
0AC4	Leco Corp.
0AC5	I & C Corp.
0AC6	Singing Electrons, Inc.
0AC7	Panwest Corp.
0AC8	Z-Star Microelectronics Corp.
0AC9	Micro Solutions, Inc.
0ACA	OPEN Networks Ltd
0ACC	Koga Electronics Co.
0ACD	ID Tech
0ACE	ZyDAS
0ACF	Intoto, Inc.
0AD0	Intellix Corp.
0AD1	Remotec Technology, Ltd
0AD2	Service & Quality Technology Co., Ltd
0ADA	Data Encryption Systems Ltd.
0AE3	Allion Computer, Inc.
0AE4	Taito Corp.
0AE7	Neodym Systems, Inc.
0AE8	System Support Co., Ltd
0AE9	North Shore Circuit Design L.L.P.
0AEA	SciEssence, LLC
0AEB	TTP Communications, Ltd
0AEC	Neodio Technologies Corp.
0AF0	Option
0AF6	Silver I Co., Ltd
0AF7	B2C2, Inc.
0AF9	Hama, Inc.
0AFA	DMC Co., Ltd.
0AFC	Zaptronix Ltd
0AFD	Tateno Dennou, Inc.
0AFE	Cummins Engine Co.
0AFF	Jump Zone Network Products, Inc.
0B00	INGENICO
0B05	ASUSTek Computer, Inc.
0B0B	Datamax-O'Neil
0B0C	Todos AB
0B0D	ProjectLab
0B0E	GN Netcom
0B0F	AVID Technology
0B10	Pcally
0B11	I Tech Solutions Co., Ltd
0B1E	Electronic Warfare Assoc., Inc. (EWA)
0B1F	Insyde Software Corp.
0B20	TransDimension, Inc.
0B21	Yokogawa Electric Corp.
0B22	Japan System Development Co., Ltd
0B23	Pan-Asia Electronics Co., Ltd
0B24	Link Evolution Corp.
0B27	Ritek Corp.
0B28	Kenwood Corp.
0B2C	Village Center, Inc.
0B30	PNY Technologies, Inc.
0B33	Contour Design, Inc.
0B37	Hitachi ULSI Systems Co., Ltd
0B38	Gear Head
0B39	Omnidirectional Control Technology, Inc.
0B3A	IPaxess
0B3B	Tekram Technology Co., Ltd
0B3C	Olivetti Techcenter
0B3E	Kikusui Electronics Corp.
0B41	Hal Corp.
0B43	Play.com, Inc.
0B47	Sportbug.com, Inc.
0B48	TechnoTrend AG
0B49	ASCII Corp.
0B4B	Pine Corp. Ltd.
0B4D	Graphtec America, Inc.
0B4E	Musical Electronics, Ltd
0B50	Dumpries Co., Ltd
0B51	Comfort Keyboard Co.
0B52	Colorado MicroDisplay, Inc.
0B54	Sinbon Electronics Co., Ltd
0B56	TYI Systems, Ltd
0B57	Beijing HanwangTechnology Co., Ltd
0B59	Lake Communications, Ltd
0B5A	Corel Corp.
0B5F	Green Electronics Co., Ltd
0B60	Nsine, Ltd
0B61	NEC Viewtechnology, Ltd
0B62	Orange Micro, Inc.
0B63	ADLink Technology, Inc.
0B64	Wonderful Wire Cable Co., Ltd
0B65	Expert Magnetics Corp.
0B66	Cybiko Inc.
0B67	Fairbanks Scales
0B69	CacheVision
0B6A	Maxim Integrated Products
0B6F	Nagano Japan Radio Co., Ltd
0B70	PortalPlayer, Inc.
0B71	SHIN-EI Sangyo Co., Ltd
0B72	Embedded Wireless Technology Co., Ltd
0B73	Computone Corp.
0B75	Roland DG Corp.
0B79	Sunrise Telecom, Inc.
0B7A	Zeevo, Inc.
0B7B	Taiko Denki Co., Ltd
0B7C	ITRAN Communications, Ltd
0B7D	Astrodesign, Inc.
0B81	id3 Technologies
0B84	Rextron Technology, Inc.
0B85	Elkat Electronics, Sdn., Bhd.
0B86	Exputer Systems, Inc.
0B87	Plus-One I & T, Inc.
0B88	Sigma Koki Co., Ltd, Technology Center
0B89	Advanced Digital Broadcast, Ltd
0B8C	SMART Technologies Inc.
0B95	ASIX Electronics Corp.
0B96	Sewon Telecom
0B97	O2 Micro, Inc.
0B98	Playmates Toys, Inc.
0B99	Audio International, Inc.
0B9B	Dipl.-Ing. Stefan Kunde
0B9D	Softprotec Co.
0B9F	Chippo Technologies
0BAF	U.S. Robotics
0BB0	Concord Camera Corp.
0BB1	Infinilink Corp.
0BB2	Ambit Microsystems Corp.
0BB3	Ofuji Technology
0BB4	HTC (High Tech Computer Corp.)
0BB5	Murata Manufacturing Co., Ltd
0BB6	Network Alchemy
0BB7	Joytech Computer Co., Ltd
0BB8	Hitachi Semiconductor and Devices Sales Co., Ltd
0BB9	Eiger M&C Co., Ltd
0BBA	ZAccess Systems
0BBB	General Meters Corp.
0BBC	Assistive Technology, Inc.
0BBD	System Connection, Inc.
0BC0	Knilink Technology, Inc.
0BC1	Fuw Yng Electronics Co., Ltd
0BC2	Seagate RSS LLC
0BC3	IPWireless, Inc.
0BC4	Microcube Corp.
0BC5	JCN Co., Ltd
0BC6	ExWAY, Inc.
0BC7	X10 Wireless Technology, Inc.
0BC8	Telmax Communications
0BC9	ECI Telecom, Ltd
0BCA	Startek Engineering, Inc.
0BCB	Perfect Technic Enterprise Co., Ltd
0BD7	Andrew Pargeter & Associates
0BDA	Realtek Semiconductor Corp.
0BDB	Ericsson Business Mobile Networks BV
0BDC	Y Media Corp.
0BDD	Orange PCS
0BE2	Kanda Tsushin Kogyo Co., Ltd
0BE3	TOYO Corp.
0BE4	Elka International, Ltd
0BE5	DOME imaging systems, Inc.
0BE6	Dong Guan Humen Wonderful Wire Cable Factory
0BED	MEI
0BEE	LTK Industries, Ltd
0BEF	Way2Call Communications
0BF0	Pace Micro Technology PLC
0BF1	Intracom S.A.
0BF2	Konexx
0BF6	Addonics Technologies, Inc.
0BF7	Sunny Giken, Inc.
0BF8	Fujitsu Siemens Computers
0BFB	Grass Valley Group
0BFD	Kvaser AB
0C00	FireFly Mouse Mat
0C04	MOTO Development Group, Inc.
0C05	Appian Graphics
0C06	Hasbro Games, Inc.
0C07	Infinite Data Storage, Ltd
0C08	Agate
0C09	Comjet Information System
0C0A	Highpoint Technologies, Inc.
0C0B	Dura Micro, Inc. (Acomdata)
0C12	Zeroplus
0C15	Iris Graphics
0C16	Gyration, Inc.
0C17	Cyberboard A/S
0C18	SynerTek Korea, Inc.
0C19	cyberPIXIE, Inc.
0C1A	Silicon Motion, Inc.
0C1B	MIPS Technologies
0C1C	Hang Zhou Silan Electronics Co., Ltd
0C1F	Magicard
0C22	Tally Printer Corp.
0C23	Lernout + Hauspie
0C24	Taiyo Yuden
0C25	Sampo Corp.
0C26	Prolific Technology Inc.
0C27	RFIDeas, Inc
0C2E	Metrologic Instruments
0C30	Mutoh Industries Ltd
0C35	Eagletron, Inc.
0C36	E Ink Corp.
0C37	e.Digital
0C38	Der An Electric Wire & Cable Co., Ltd
0C39	IFR
0C3A	Furui Precise Component (Kunshan) Co., Ltd
0C3B	Komatsu, Ltd
0C3C	Radius Co., Ltd
0C3D	Innocom, Inc.
0C3E	Nextcell, Inc.
0C40	ELMCU
0C44	Motorola iDEN
0C45	Microdia
0C46	WaveRider Communications, Inc.
0C4A	ALGE-TIMING GmbH
0C4B	Reiner SCT Kartensysteme GmbH
0C4C	Needham's Electronics
0C52	Sealevel Systems, Inc.
0C53	ViewPLUS, Inc.
0C54	Glory, Ltd
0C55	Spectrum Digital, Inc.
0C56	Billion Bright, Ltd
0C57	Imaginative Design Operation Co., Ltd
0C58	Vidar Systems Corp.
0C59	Dong Guan Shinko Wire Co., Ltd
0C5A	TRS International Mfg., Inc.
0C5E	Xytronix Research & Design
0C60	Apogee Electronics Corp.
0C62	Chant Sincere Co., Ltd
0C63	Toko, Inc.
0C64	Signality System Engineering Co., Ltd
0C65	Eminence Enterprise Co., Ltd
0C66	Rexon Electronics Corp.
0C67	Concept Telecom, Ltd
0C6A	ACS
0C6C	JETI Technische Instrumente GmbH
0C70	MCT Elektronikladen
0C72	PEAK System
0C74	Optronic Laboratories Inc.
0C76	JMTek, LLC.
0C77	Sipix Group, Ltd
0C78	Detto Corp.
0C79	NuConnex Technologies Pte., Ltd
0C7A	Wing-Span Enterprise Co., Ltd
0C86	NDA Technologies, Inc.
0C88	Kyocera Wireless Corp.
0C89	Honda Tsushin Kogyo Co., Ltd
0C8A	Pathway Connectivity, Inc.
0C8B	Wavefly Corp.
0C8C	Coactive Networks
0C8D	Tempo
0C8E	Cesscom Co., Ltd
0C8F	Applied Microsystems
0C94	Cryptera
0C98	Berkshire Products, Inc.
0C99	Innochips Co., Ltd
0C9A	Hanwool Robotics Corp.
0C9B	Jobin Yvon, Inc.
0C9C	Brand Innovators BV
0C9D	SemTek
0CA2	Zyfer
0CA3	Sega Corp.
0CA4	ST&T Instrument Corp.
0CA5	BAE Systems Canada, Inc.
0CA6	Castles Technology Co., Ltd
0CA7	Information Systems Laboratories
0CAA	Allied Telesis KK.
0CAD	Motorola CGISS
0CAE	Ascom Business Systems, Ltd
0CAF	Buslink
0CB0	Flying Pig Systems
0CB1	Innovonics, Inc.
0CB6	Celestix Networks, Pte., Ltd
0CB7	Singatron Enterprise Co., Ltd
0CB8	Opticis Co., Ltd
0CBA	Trust Electronic (Shanghai) Co., Ltd
0CBB	Shanghai Darong Electronics Co., Ltd
0CBC	Palmax Technology Co., Ltd
0CBD	Pentel Co., Ltd (Electronics Equipment Div.)
0CBE	Keryx Technologies, Inc.
0CBF	Union Genius Computer Co., Ltd
0CC0	Kuon Yi Industrial Corp.
0CC1	Given Imaging, Ltd
0CC2	Timex Corp.
0CC3	Rimage Corp.
0CC4	emsys GmbH
0CC5	Sendo
0CC6	Intermagic Corp.
0CC8	Technotools Corp.
0CC9	BroadMAX Technologies, Inc.
0CCA	Amphenol
0CCB	SKNet Co., Ltd
0CCC	Domex Technology Corp.
0CCD	TerraTec Electronic GmbH
0CD4	Bang Olufsen
0CD5	LabJack Corporation
0CD6	Scheidt & Bachmann
0CD7	NewChip S.r.l.
0CD8	JS Digitech, Inc.
0CD9	Hitachi Shin Din Cable, Ltd
0CDE	Z-Com
0CE5	Validation Technologies International
0CE9	Pico Technology
0CF1	e-Conn Electronic Co., Ltd
0CF2	ENE Technology, Inc.
0CF3	Qualcomm Atheros Communications
0CF4	Fomtex Corp.
0CF5	Cellink Co., Ltd
0CF6	Compucable Corp.
0CF7	ishoni Networks
0CF8	Clarisys, Inc.
0CF9	Central System Research Co., Ltd
0CFA	Inviso, Inc.
0CFC	Minolta-QMS, Inc.
0CFF	SAFA MEDIA Co., Ltd.
0D06	telos EDV Systementwicklung GmbH
0D08	UTStarcom
0D0B	Contemporary Controls
0D0C	Astron Electronics Co., Ltd
0D0D	MKNet Corp.
0D0E	Hybrid Networks, Inc.
0D0F	Feng Shin Cable Co., Ltd
0D10	Elastic Networks
0D11	Maspro Denkoh Corp.
0D12	Hansol Electronics, Inc.
0D13	BMF Corp.
0D14	Array Comm, Inc.
0D15	OnStream b.v.
0D16	Hi-Touch Imaging Technologies Co., Ltd
0D17	NALTEC, Inc.
0D18	coaXmedia
0D19	Hank Connection Industrial Co., Ltd
0D28	NXP
0D2F	Andamiro
0D32	Leo Hui Electric Wire & Cable Co., Ltd
0D33	AirSpeak, Inc.
0D34	Rearden Steel Technologies
0D35	Dah Kun Co., Ltd
0D3A	Posiflex Technologies, Inc.
0D3C	Sri Cable Technology, Ltd
0D3D	Tangtop Technology Co., Ltd
0D3E	Fitcom, inc.
0D3F	MTS Systems Corp.
0D40	Ascor, Inc.
0D41	Ta Yun Terminals Industrial Co., Ltd
0D42	Full Der Co., Ltd
0D46	Kobil Systems GmbH
0D48	Promethean Limited
0D49	Maxtor
0D4A	NF Corp.
0D4B	Grape Systems, Inc.
0D4C	Tedas AG
0D4D	Coherent, Inc.
0D4E	Agere Systems Netherland BV
0D4F	EADS Airbus France
0D50	Cleware GmbH
0D51	Volex (Asia) Pte., Ltd
0D53	HMI Co., Ltd
0D54	Holon Corp.
0D55	ASKA Technologies, Inc.
0D56	AVLAB Technology, Inc.
0D57	Solomon Microtech, Ltd
0D59	TRC Simulators b.v.
0D5C	SMC Networks, Inc.
0D5E	Myacom, Ltd
0D5F	CSI, Inc.
0D60	IVL Technologies, Ltd
0D61	Meilu Electronics (Shenzhen) Co., Ltd
0D62	Darfon Electronics Corp.
0D63	Fritz Gegauf AG
0D64	DXG Technology Corp.
0D65	KMJP Co., Ltd
0D66	TMT
0D67	Advanet, Inc.
0D68	Super Link Electronics Co., Ltd
0D69	NSI
0D6A	Megapower International Corp.
0D6B	And-Or Logic
0D70	Try Computer Co., Ltd
0D71	Hirakawa Hewtech Corp.
0D72	Winmate Communication, Inc.
0D73	Hit's Communications, Inc.
0D76	MFP Korea, Inc.
0D77	Power Sentry/Newpoint
0D78	Japan Distributor Corp.
0D7A	MARX Datentechnik GmbH
0D7B	Wellco Technology Co., Ltd
0D7C	Taiwan Line Tek Electronic Co., Ltd
0D7D	Phison Electronics Corp.
0D7E	American Computer & Digital Components
0D7F	Essential Reality LLC
0D80	H.R. Silvine Electronics, Inc.
0D81	TechnoVision
0D83	Think Outside, Inc.
0D87	Dolby Laboratories Inc.
0D89	Oz Software
0D8A	King Jim Co., Ltd
0D8B	Ascom Telecommunications, Ltd
0D8C	C-Media Electronics, Inc.
0D8D	Promotion & Display Technology, Ltd
0D8E	Global Sun Technology, Inc.
0D8F	Pitney Bowes
0D90	Sure-Fire Electrical Corp.
0D96	Skanhex Technology, Inc.
0D97	Santa Barbara Instrument Group
0D98	Mars Semiconductor Corp.
0D99	Trazer Technologies, Inc.
0D9A	RTX AS
0D9B	Tat Shing Electrical Co.
0D9C	Chee Chen Hi-Technology Co., Ltd
0D9D	Sanwa Supply, Inc.
0D9E	Avaya
0D9F	Powercom Co., Ltd
0DA0	Danger Research
0DA1	Suzhou Peter's Precise Industrial Co., Ltd
0DA2	Land Instruments International, Ltd
0DA3	Nippon Electro-Sensory Devices Corp.
0DA4	Polar Electro Oy
0DA7	IOGear, Inc.
0DA8	softDSP Co., Ltd
0DAB	Cubig Group
0DAD	Westover Scientific
0DB0	Micro Star International
0DB1	Wen Te Electronics Co., Ltd
0DB2	Shian Hwi Plug Parts, Plastic Factory
0DB3	Tekram Technology Co., Ltd
0DB4	Chung Fu Chen Yeh Enterprise Corp.
0DB5	Access IS
0DB7	ELCON Systemtechnik
0DBA	Digidesign
0DBC	A&D Medical
0DBE	Jiuh Shiuh Precision Industry Co., Ltd
0DBF	Jess-Link International
0DC0	G7 Solutions (formerly Great Notions)
0DC1	Tamagawa Seiki Co., Ltd
0DC3	Athena Smartcard Solutions, Inc.
0DC4	inXtron, Inc.
0DC5	SDK Co., Ltd
0DC6	Precision Squared Technology Corp.
0DC7	First Cable Line, Inc.
0DCD	NetworkFab Corp.
0DD0	Access Solutions
0DD1	Contek Electronics Co., Ltd
0DD2	Power Quotient International Co., Ltd
0DD3	MediaQ
0DD4	Custom Engineering SPA
0DD5	California Micro Devices
0DD7	Kocom Co., Ltd
0DD8	Netac Technology Co., Ltd
0DD9	HighSpeed Surfing
0DDA	Integrated Circuit Solution, Inc.
0DDB	Tamarack, Inc.
0DDD	Datelink Technology Co., Ltd
0DDE	Ubicom, Inc.
0DE0	BD Consumer Healthcare
0DE7	USBmicro
0DEA	UTECH Electronic (D.G.) Co., Ltd.
0DED	Novasonics
0DEE	Lifetime Memory Products
0DEF	Full Rise Electronic Co., Ltd
0DF4	NET&SYS
0DF6	Sitecom Europe B.V.
0DF7	Mobile Action Technology, Inc.
0DFA	Toyo Communication Equipment Co., Ltd
0DFC	GeneralTouch Technology Co., Ltd
0E03	Nippon Systemware Co., Ltd
0E08	Winbest Technology Co., Ltd
0E0B	Amigo Technology Inc.
0E0C	Gesytec
0E0D	PicoQuant GmbH
0E0F	VMware, Inc.
0E16	JMTek, LLC
0E17	Walex Electronic, Ltd
0E1A	Unisys
0E1B	Crewave
0E1E	Green Hills Software
0E20	Pegasus Technologies Ltd.
0E21	Cowon Systems, Inc.
0E22	Symbian Ltd.
0E23	Liou Yuane Enterprise Co., Ltd
0E25	VinChip Systems, Inc.
0E26	J-Phone East Co., Ltd
0E2C	Materialise Motion NV
0E2E	Brady Worldwide, Inc.
0E30	HeartMath LLC
0E34	Micro Computer Control Corp.
0E35	3Pea Technologies, Inc.
0E36	TiePie engineering
0E38	Stratitec, Inc.
0E39	Smart Modular Technologies, Inc.
0E3A	Neostar Technology Co., Ltd
0E3B	Mansella, Ltd
0E41	Line6, Inc.
0E44	Sun-Riseful Technology Co., Ltd.
0E48	Julia Corp., Ltd
0E4A	Shenzhen Bao Hing Electric Wire & Cable Mfr. Co.
0E4C	Radica Games, Ltd
0E50	TechnoData Interware
0E55	Speed Dragon Multimedia, Ltd
0E56	Kingston Technology Company, Inc.
0E5A	Active Co., Ltd
0E5B	Union Power Information Industrial Co., Ltd
0E5C	Bitland Information Technology Co., Ltd
0E5D	Neltron Industrial Co., Ltd
0E5E	Conwise Technology Co., Ltd.
0E66	Hawking Technologies
0E67	Fossil, Inc.
0E6A	Megawin Technology Co., Ltd
0E6F	Logic3
0E70	Tokyo Electronic Industry Co., Ltd
