0000	Ericsson AB
0408	ToGetHome Inc.
040A	ZF OPENMATICS s.r.o.
040B	Jana Care Inc.
040D	NorthStar Battery Company, LLC
040E	SKF (U.K.) Limited
040F	CO-AX Technology, Inc.
0410	Fender Musical Instruments
0411	Luidia Inc
0412	SEFAM
0413	Wireless Cables Inc
0416	SODA GmbH
0417	Fatigue Science
0419	Novalogy LTD
041A	Friday Labs Limited
041B	OrthoAccel Technologies
041C	WaterGuru, Inc.
041D	Benning Elektrotechnik und Elektronik GmbH & Co. KG
041E	Dell Computer Corporation
041F	Kopin Corporation
0420	TecBakery GmbH
0421	Backbone Labs, Inc.
0422	DELSEY SA
0423	Chargifi Limited
0424	Trainesense Ltd.
0425	Unify Software and Solutions GmbH & Co. KG
0426	Husqvarna AB
0427	Focus fleet and fuel management inc
0428	SmallLoop, LLC
0429	Prolon Inc.
042A	BD Medical
042B	iMicroMed Incorporated
042C	Ticto N.V.
042D	Meshtech AS
042E	MemCachier Inc.
042F	Danfoss A/S
0430	SnapStyk Inc.
0431	Alticor Inc.
0432	Silk Labs, Inc.
0433	Pillsy Inc.
0434	Hatch Baby, Inc.
0435	Blocks Wearables Ltd.
0436	Drayson Technologies (Europe) Limited
0437	eBest IOT Inc.
0438	Helvar Ltd
0439	Radiance Technologies
043A	Nuheara Limited
043B	Appside co., ltd.
043D	Coiler Corporation
043E	Thermomedics, Inc.
043F	Tentacle Sync GmbH
0440	Valencell, Inc.
0442	SECOM CO., LTD.
0443	Tucker International LLC
0444	Metanate Limited
0445	Kobian Canada Inc.
0446	NETGEAR, Inc.
0447	Fabtronics Australia Pty Ltd
0448	Grand Centrix GmbH
0449	1UP USA.com llc
044A	SHIMANO INC.
044B	Nain Inc.
044C	LifeStyle Lock, LLC
044D	VEGA Grieshaber KG
044E	Xtrava Inc.
044F	TTS Tooltechnic Systems AG & Co. KG
0450	Teenage Engineering AB
0451	Tunstall Nordic AB
0452	Svep Design Center AB
0453	Qorvo Utrecht B.V.
0454	Sphinx Electronics GmbH & Co KG
0456	Nemik Consulting Inc
0457	RF INNOVATION
0458	Mini Solution Co., Ltd.
045A	2048450 Ontario Inc
045C	Delta T Corporation
045D	Boston Scientific Corporation
045E	Nuviz, Inc.
045F	Real Time Automation, Inc.
0460	Kolibree
0461	vhf elektronik GmbH
0462	Bonsai Systems GmbH
0463	Fathom Systems Inc.
0464	Bellman & Symfon Group AB
0465	International Forte Group LLC
0467	Codenex Oy
0468	Kynesim Ltd
0469	Palago AB
046A	INSIGMA INC.
046B	PMD Solutions
046C	Qingdao Realtime Technology Co., Ltd.
046D	BEGA Gantenbrink-Leuchten KG
046E	Pambor Ltd.
046F	Develco Products A/S
0470	iDesign s.r.l.
0471	TiVo Corp
0472	Control-J Pty Ltd
0473	Steelcase, Inc.
0474	iApartment co., ltd.
0475	Icom inc.
0477	Blue Spark Technologies
0478	FarSite Communications Limited
0479	mywerk system GmbH
047A	Sinosun Technology Co., Ltd.
047B	MIYOSHI ELECTRONICS CORPORATION
047D	Occly LLC
047E	OurHub Dev IvS
047F	Pro-Mark, Inc.
0481	Quintrax Limited
0482	POS Tuning Udo Vosshenrich GmbH & Co. KG
0484	Revol Technologies Inc
0485	SKIDATA AG
0486	DEV TECNOLOGIA INDUSTRIA, COMERCIO E MANUTENCAO DE EQUIPAMENTOS LTDA. - ME
0487	Centrica Connected Home
0488	Automotive Data Solutions Inc
0489	Igarashi Engineering
048A	Taelek Oy
048C	Vectronix AG
048D	S-Labs Sp. z o.o.
048E	Companion Medical, Inc.
048F	BlueKitchen GmbH
0490	Matting AB
0491	SOREX - Wireless Solutions GmbH
0492	ADC Technology, Inc.
0493	Lynxemi Pte Ltd
0494	SENNHEISER electronic GmbH & Co. KG
0496	Polymorphic Labs LLC
0497	Cochlear Limited
0498	METER Group, Inc. USA
0499	Ruuvi Innovations Ltd.
049A	Situne AS
049B	nVisti, LLC
049C	DyOcean
049D	Uhlmann & Zacher GmbH
049E	AND!XOR LLC
049F	Popper Pay AB
04A2	ovrEngineered, LLC
04A3	GT-tronics HK Ltd
04A4	Herbert Waldmann GmbH & Co. KG
04A5	Guangzhou FiiO Electronics Technology Co.,Ltd
04A6	Vinetech Co., Ltd
04A7	Dallas Logic Corporation
04A8	BioTex, Inc.
04AA	LINKIO SAS
04AB	Harbortronics, Inc.
04AC	Undagrid B.V.
04AD	Shure Inc
04AE	ERM Electronic Systems LTD
04AF	BIOROWER Handelsagentur GmbH
04B1	Kartographers Technologies Pvt. Ltd.
04B2	The Shadow on the Moon
04B3	mobike (Hong Kong) Limited
04B4	Inuheat Group AB
04B5	Swiftronix AB
04B6	Diagnoptics Technologies
04B7	Analog Devices, Inc.
04B8	Soraa Inc.
04B9	CSR Building Products Limited
04BA	Crestron Electronics, Inc.
04BB	Neatebox Ltd
04BC	Draegerwerk AG & Co. KGaA
04BD	AlbynMedical
04BE	Averos FZCO
04BF	VIT Initiative, LLC
04C0	Statsports International
04C1	Sospitas, s.r.o.
04C2	Dmet Products Corp.
04C3	Mantracourt Electronics Limited
04C4	TeAM Hutchins AB
04C5	Seibert Williams Glass, LLC
04C6	Insta GmbH
04C7	Svantek Sp. z o.o.
04C8	Shanghai Flyco Electrical Appliance Co., Ltd.
04C9	Thornwave Labs Inc
04CA	Steiner-Optik GmbH
04CB	Novo Nordisk A/S
04CD	Safetech Products LLC
04CE	GOOOLED S.R.L.
04CF	DOM Sicherheitstechnik GmbH & Co. KG
04D0	Olympus Corporation
04D1	KTS GmbH
04D2	Anloq Technologies Inc.
04D3	Queercon, Inc
04D4	TASKA PROSTHETICS LIMITED
04D5	Gooee Limited
04D6	LUGLOC LLC
04D7	Blincam, Inc.
04D8	FUJIFILM Corporation
04D9	RM Acquisition LLC
04DA	Franceschi Marina snc
04DB	Engineered Audio, LLC.
04DC	IOTTIVE (OPC) PRIVATE LIMITED
04DD	4MOD Technology
04DE	Lutron Electronics Co., Inc.
04DF	Emerson Electric Co.
04E0	Guardtec, Inc.
04E1	REACTEC LIMITED
04E3	Under Armour
04E4	Woodenshark
04E5	Avack Oy
04E6	Smart Solution Technology, Inc.
04E8	STABILO International
04E9	Busch Jaeger Elektro GmbH
04EA	Pacific Bioscience Laboratories, Inc
04EB	Bird Home Automation GmbH
04EC	Motorola Solutions
04EE	Auxivia
04EF	DaisyWorks, Inc
04F0	Kosi Limited
04F1	Theben AG
04F2	InDreamer Techsol Private Limited
04F3	Cerevast Medical
04F4	ZanCompute Inc.
04F5	Pirelli Tyre S.P.A.
04F6	McLear Limited
04F7	Shenzhen Goodix Technology Co., Ltd
04F8	Convergence Systems Limited
04F9	Interactio
04FA	Androtec GmbH
04FB	Benchmark Drives GmbH & Co. KG
04FC	SwingLync L. L. C.
04FD	Tapkey GmbH
04FE	Woosim Systems Inc.
04FF	Microsemi Corporation
0500	Wiliot LTD.
0501	Polaris IND
0502	Specifi-Kali LLC
0503	Locoroll, Inc
0504	PHYPLUS Inc
0505	InPlay, Inc.
0506	Hager
0508	Axes System sp. z o. o.
0509	Garage Smart, Inc.
050A	Shake-on B.V.
050B	Vibrissa Inc.
050C	OSRAM GmbH
050D	TRSystems GmbH
050E	Yichip Microelectronics (Hangzhou) Co.,Ltd.
050F	Foundation Engineering LLC
0510	UNI-ELECTRONICS, INC.
0511	Brookfield Equinox LLC
0512	Soprod SA
0513	9974091 Canada Inc.
0514	FIBRO GmbH
0515	RB Controls Co., Ltd.
0516	Footmarks
0517	Amtronic Sverige AB
0518	MAMORIO.inc
0519	Tyto Life LLC
051A	Leica Camera AG
051C	EDPS
051D	OFF Line Co., Ltd.
051E	Detect Blue Limited
051F	Setec Pty Ltd
0520	Target Corporation
0521	IAI Corporation
0522	NS Tech, Inc.
0523	MTG Co., Ltd.
0524	Hangzhou iMagic Technology Co., Ltd
0525	HONGKONG NANO IC TECHNOLOGIES CO., LIMITED
0526	Honeywell International Inc.
0527	Albrecht JUNG
0528	Lunera Lighting Inc.
0529	Lumen UAB
052A	Keynes Controls Ltd
052B	Novartis AG
052C	Geosatis SA
052D	EXFO, Inc.
052E	LEDVANCE GmbH
052F	Center ID Corp.
0530	Adolene, Inc.
0531	D&M Holdings Inc.
0532	CRESCO Wireless, Inc.
0533	Nura Operations Pty Ltd
0534	Frontiergadget, Inc.
0535	Smart Component Technologies Limited
0536	ZTR Control Systems LLC
0537	MetaLogics Corporation
0538	Medela AG
0539	OPPLE Lighting Co., Ltd
053A	Savitech Corp.,
053B	prodigy
053C	Screenovate Technologies Ltd
053D	TESA SA
053E	CLIM8 LIMITED
053F	Silergy Corp
0540	SilverPlus, Inc
0541	Sharknet srl
0542	Mist Systems, Inc.
0543	MIWA LOCK CO.,Ltd
0544	OrthoSensor, Inc.
0546	Apexar Technologies S.A.
0547	LOGICDATA Electronic & Software Entwicklungs GmbH
0548	Knick Elektronische Messgeraete GmbH & Co. KG
0549	Smart Technologies and Investment Limited
054A	Linough Inc.
054B	Advanced Electronic Designs, Inc.
054C	Carefree Scott Fetzer Co Inc
054D	Sensome
054E	FORTRONIK storitve d.o.o.
054F	Sinnoz
0551	Sylero
0552	Avempace SARL
0553	Nintendo Co., Ltd.
0554	National Instruments
0555	KROHNE Messtechnik GmbH
0556	Otodynamics Ltd
0557	Arwin Technology Limited
0558	benegear, inc.
0559	Newcon Optik
055A	CANDY HOUSE, Inc.
055B	FRANKLIN TECHNOLOGY INC
055C	Lely
055D	Valve Corporation
055E	Hekatron Vertriebs GmbH
055F	PROTECH S.A.S. DI GIRARDI ANDREA & C.
0560	Sarita CareTech APS
0561	Finder S.p.A.
0562	Thalmic Labs Inc.
0563	Steinel GmbH
0564	Beghelli Spa
0566	CORE TRANSPORT TECHNOLOGIES NZ LIMITED
0567	Xiamen Everesports Goods Co., Ltd
0568	Bodyport Inc.
056A	Flipnavi Co.,Ltd.
056B	Rion Co., Ltd.
056C	Long Range Systems, LLC
056D	Redmond Industrial Group LLC
056E	VIZPIN INC.
056F	BikeFinder AS
0570	Consumer Sleep Solutions LLC
0571	PSIKICK, INC.
0572	AntTail.com
0573	Lighting Science Group Corp.
0574	AFFORDABLE ELECTRONICS INC
0575	Integral Memroy Plc
0576	Globalstar, Inc.
0577	True Wearables, Inc.
0578	Wellington Drive Technologies Ltd
057A	OMNI Remotes
057B	Duracell U.S. Operations Inc.
057C	Toor Technologies LLC
057D	Instinct Performance
057E	Beco, Inc
057F	Scuf Gaming International, LLC
0581	LYS TECHNOLOGIES LTD
0582	Breakwall Analytics, LLC
0583	Code Blue Communications
0584	Gira Giersiepen GmbH & Co. KG
0585	Hearing Lab Technology
0586	LEGRAND
0587	Derichs GmbH
0588	ALT-TEKNIK LLC
0589	Star Technologies
058A	START TODAY CO.,LTD.
058B	Maxim Integrated Products
058C	Fracarro Radioindustrie SRL
058D	Jungheinrich Aktiengesellschaft
058E	Meta Platforms Technologies, LLC
058F	HENDON SEMICONDUCTORS PTY LTD
0590	Pur3 Ltd
0591	Viasat Group S.p.A.
0592	IZITHERM
0593	Spaulding Clinical Research
0594	Kohler Company
0595	Inor Process AB
0596	My Smart Blinds
0597	RadioPulse Inc
0598	rapitag GmbH
0599	Lazlo326, LLC.
059A	Teledyne Lecroy, Inc.
059B	Dataflow Systems Limited
059C	Macrogiga Electronics
059D	Tandem Diabetes Care
059E	Polycom, Inc.
059F	Fisher & Paykel Healthcare
05A0	Dream Devices Technologies Oy
05A1	Shanghai Xiaoyi Technology Co.,Ltd.
05A2	ADHERIUM(NZ) LIMITED
05A3	Axiomware Systems Incorporated
05A4	O. E. M. Controls, Inc.
05A5	Kiiroo BV
05A6	Telecon Mobile Limited
05A7	Sonos Inc
05A8	Tom Allebrandi Consulting
05A9	Monidor
05AA	Tramex Limited
05AB	Nofence AS
05AC	GoerTek Dynaudio Co., Ltd.
05AD	INIA
05AE	CARMATE MFG.CO.,LTD
05AF	OV LOOP, INC.
05B0	NewTec GmbH
05B1	Medallion Instrumentation Systems
05B2	CAREL INDUSTRIES S.P.A.
05B3	Parabit Systems, Inc.
05B4	White Horse Scientific ltd
05B5	verisilicon
05B6	Elecs Industry Co.,Ltd.
05B7	Beijing Pinecone Electronics Co.,Ltd.
05B8	Ambystoma Labs Inc.
05B9	Suzhou Pairlink Network Technology
05BA	igloohome
05BB	Oxford Metrics plc
05BC	Leviton Mfg. Co., Inc.
05BD	ULC Robotics Inc.
05BF	Real-World-Systems Corporation
05C0	Nalu Medical, Inc.
05C1	P.I.Engineering
05C2	Grote Industries
05C3	Runtime, Inc.
05C4	Codecoup sp. z o.o. sp. k.
05C5	SELVE GmbH & Co. KG
05C7	Lippert Components, INC
05C8	SOMFY SAS
05C9	TBS Electronics B.V.
05CA	MHL Custom Inc
05CB	LucentWear LLC
05CC	WATTS ELECTRONICS
05CD	RJ Brands LLC
05CE	V-ZUG Ltd
05CF	Biowatch SA
05D0	Anova Applied Electronics
05D1	Lindab AB
05D2	frogblue TECHNOLOGY GmbH
05D3	Acurable Limited
05D4	LAMPLIGHT Co., Ltd.
05D5	TEGAM, Inc.
05D6	Zhuhai Jieli technology Co.,Ltd
05D7	modum.io AG
05D8	Farm Jenny LLC
05D9	Toyo Electronics Corporation
05DA	Applied Neural Research Corp
05DB	Avid Identification Systems, Inc.
05DC	Petronics Inc.
05DD	essentim GmbH
05DE	QT Medical INC.
05DF	VIRTUALCLINIC.DIRECT LIMITED
05E0	Viper Design LLC
05E1	Human, Incorporated
05E2	stAPPtronics GmbH
05E3	Elemental Machines, Inc.
05E4	Taiyo Yuden Co., Ltd
05E5	INEO ENERGY& SYSTEMS
05E6	Motion Instruments Inc.
05E7	PressurePro
05E8	COWBOY
05E9	iconmobile GmbH
05EA	ACS-Control-System GmbH
05EB	Bayerische Motoren Werke AG
05EC	Gycom Svenska AB
05ED	Fuji Xerox Co., Ltd
05EF	SIKOM AS
05F0	beken
05F1	The Linux Foundation
05F2	Try and E CO.,LTD.
05F3	SeeScan
05F4	Clearity, LLC
05F5	GS TAG
05F6	DPTechnics
05F7	TRACMO, INC.
05F8	Anki Inc.
05F9	Hagleitner Hygiene International GmbH
05FA	Konami Sports Life Co., Ltd.
05FB	Arblet Inc.
05FC	Masbando GmbH
05FD	Innoseis
05FE	Niko nv
05FF	Wellnomics Ltd
0600	iRobot Corporation
0601	Schrader Electronics
0602	Geberit International AG
0603	Fourth Evolution Inc
0605	FMW electronic Futterer u. Maier-Wolf OHG
0606	John Deere
0607	Rookery Technology Ltd
0608	KeySafe-Cloud
0609	BUCHI Labortechnik AG
060A	IQAir AG
060B	Triax Technologies Inc
060C	Vuzix Corporation
060D	TDK Corporation
060E	Blueair AB
060F	Signify Netherlands B.V.
0610	ADH GUARDIAN USA LLC
0611	Beurer GmbH
0612	Playfinity AS
0613	Hans Dinslage GmbH
0614	OnAsset Intelligence, Inc.
0615	INTER ACTION Corporation
0616	OS42 UG (haftungsbeschraenkt)
0618	Audio-Technica Corporation
0619	Six Guys Labs, s.r.o.
061A	R.W. Beckett Corporation
061B	silex technology, inc.
061C	Univations Limited
061D	SENS Innovation ApS
061E	Diamond Kinetics, Inc.
061F	Phrame Inc.
0620	Forciot Oy
0621	Noordung d.o.o.
0622	Beam Labs, LLC
0624	Biovotion AG
0625	Square Panda, Inc.
0626	Amplifico
0627	WEG S.A.
0628	Ensto Oy
0629	PHONEPE PVT LTD
062B	MinebeaMitsumi Inc.
062C	ASPion GmbH
062D	Vossloh-Schwabe Deutschland GmbH
062E	Procept
062F	ONKYO Corporation
0630	Asthrea D.O.O.
0631	Fortiori Design LLC
0632	Hugo Muller GmbH & Co KG
0633	Wangi Lai PLT
0634	Fanstel Corp
0635	Crookwood
0636	ELECTRONICA INTEGRAL DE SONIDO S.A.
0637	GiP Innovation Tools GmbH
0638	LX SOLUTIONS PTY LIMITED
0639	Shenzhen Minew Technologies Co., Ltd.
063A	Prolojik Limited
063B	Kromek Group Plc
063C	Contec Medical Systems Co., Ltd.
063D	Xradio Technology Co.,Ltd.
063E	The Indoor Lab, LLC
063F	LDL TECHNOLOGY
0640	Dish Network LLC
0641	Revenue Collection Systems FRANCE SAS
0642	Bluetrum Technology Co.,Ltd
0643	makita corporation
0644	Apogee Instruments
0645	BM3
0646	SGV Group Holding GmbH & Co. KG
0647	MED-EL
0648	Ultune Technologies
0649	Ryeex Technology Co.,Ltd.
064A	Open Research Institute, Inc.
064B	Scale-Tec, Ltd
064C	Zumtobel Group AG
064D	iLOQ Oy
064E	KRUXWorks Technologies Private Limited
064F	Digital Matter Pty Ltd
0650	Coravin, Inc.
0651	Stasis Labs, Inc.
0652	ITZ Innovations- und Technologiezentrum GmbH
0653	Meggitt SA
0654	Ledlenser GmbH & Co. KG
0655	Renishaw PLC
0656	ZhuHai AdvanPro Technology Company Limited
0657	Meshtronix Limited
0658	Payex Norge AS
0659	UnSeen Technologies Oy
065A	Marshall Group AB
065B	Sesam Solutions BV
065C	PixArt Imaging Inc.
065D	Panduit Corp.
065E	Alo AB
065F	Ricoh Company Ltd
0660	RTC Industries, Inc.
0661	Mode Lighting Limited
0662	Particle Industries, Inc.
0663	Advanced Telemetry Systems, Inc.
0664	RHA TECHNOLOGIES LTD
0665	Pure International Limited
0666	WTO Werkzeug-Einrichtungen GmbH
0668	Bleb Technology srl
0669	Livanova USA, Inc.
066A	Brady Worldwide Inc.
066B	DewertOkin GmbH
066C	Ztove ApS
066D	Venso EcoSolutions AB
066E	Eurotronik Kranj d.o.o.
066F	Hug Technology Ltd
0670	Gema Switzerland GmbH
0671	Buzz Products Ltd.
0672	Kopi
0673	Innova Ideas Limited
0674	BeSpoon
0676	Expai Solutions Private Limited
0677	Innovation First, Inc.
0678	SABIK Offshore GmbH
0679	4iiii Innovations Inc.
067A	The Energy Conservatory, Inc.
067B	I.FARM, INC.
067C	Tile, Inc.
067D	Form Athletica Inc.
067F	NETGRID S.N.C. DI BISSOLI MATTEO, CAMPOREALE SIMONE, TOGNETTI FEDERICO
0680	Mannkind Corporation
0681	Trade FIDES a.s.
0682	Photron Limited
0683	Eltako GmbH
0684	Dermalapps, LLC
0685	Greenwald Industries
0686	inQs Co., Ltd.
0687	Cherry GmbH
0688	Amsted Digital Solutions Inc.
0689	Tacx b.v.
068A	Raytac Corporation
068B	Jiangsu Teranovo Tech Co., Ltd.
068E	Razer Inc.
068F	JRM Group Limited
0690	Eccrine Systems, Inc.
0691	Curie Point AB
0692	Georg Fischer AG
0693	Hach - Danaher
0694	T&A Laboratories LLC
0695	Koki Holdings Co., Ltd.
0696	Gunakar Private Limited
0697	Stemco Products Inc
0698	Wood IT Security, LLC
0699	RandomLab SAS
069A	Adero, Inc.
069B	Dragonchip Limited
069C	Noomi AB
069E	Delta Electronics, Inc.
069F	FlowMotion Technologies AS
06A0	OBIQ Location Technology Inc.
06A1	Cardo Systems, Ltd
06A2	Globalworx GmbH
06A3	Nymbus, LLC
06A4	LIMNO Co. Ltd.
06A5	TEKZITEL PTY LTD
06A6	Roambee Corporation
06A7	Chipsea Technologies (ShenZhen) Corp.
06A8	GD Midea Air-Conditioning Equipment Co., Ltd.
06A9	Soundmax Electronics Limited
06AA	Produal Oy
06AB	HMS Industrial Networks AB
06AC	Ingchips Technology Co., Ltd.
06AD	InnovaSea Systems Inc.
06AE	SenseQ Inc.
06AF	Shoof Technologies
06B0	BRK Brands, Inc.
06B1	SimpliSafe, Inc.
06B2	Tussock Innovation 2013 Limited
06B4	Sencilion Oy
06B5	Wabilogic Ltd.
06B6	Sociometric Solutions, Inc.
06B7	iCOGNIZE GmbH
06B8	ShadeCraft, Inc
06B9	Beflex Inc.
06BA	Beaconzone Ltd
06BB	Leaftronix Analogic Solutions Private Limited
06BC	TWS Srl
06BD	ABB Oy
06BE	HitSeed Oy
06C0	CAME S.p.A.
06C1	Alarm.com Holdings, Inc
06C2	Measurlogic Inc.
06C3	King I Electronics.Co.,Ltd
06C4	Dream Labs GmbH
06C5	Urban Compass, Inc
06C6	Simm Tronic Limited
06C8	Storz & Bickel GmbH & Co. KG
06C9	MYLAPS B.V.
06CA	Shenzhen Zhongguang Infotech Technology Development Co., Ltd
06CB	Dyeware, LLC
06CC	Dongguan SmartAction Technology Co.,Ltd.
06CD	DIG Corporation
06CE	FIOR & GENTZ
06D0	Etekcity Corporation
06D1	Meyer Sound Laboratories, Incorporated
06D2	CeoTronics AG
06D5	Sensirion AG
06D6	JCT Healthcare Pty Ltd
06D7	FUBA Automotive Electronics GmbH
06D8	AW Company
06D9	Shanghai Mountain View Silicon Co.,Ltd.
06DA	Zliide Technologies ApS
06DB	Automatic Labs, Inc.
06DC	Industrial Network Controls, LLC
06DD	Intellithings Ltd.
06DE	Navcast, Inc.
06DF	HLI Solutions Inc.
06E0	Avaya Inc.
06E1	Milestone AV Technologies LLC
06E2	Alango Technologies Ltd
06E3	Spinlock Ltd
06E4	Aluna
06E5	OPTEX CO.,LTD.
06E6	NIHON DENGYO KOUSAKU
06E7	VELUX A/S
06E8	Almendo Technologies GmbH
06E9	Zmartfun Electronics, Inc.
06EA	SafeLine Sweden AB
06EB	Houston Radar LLC
06ED	J Neades Ltd
06EF	ALCARE Co., Ltd.
06F0	Chargy Technologies, SL
06F1	Shibutani Co., Ltd.
06F2	Trapper Data AB
06F3	Alfred International Inc.
06F4	Touché Technology Ltd
06F5	Vigil Technologies Inc.
06F6	Vitulo Plus BV
06F7	WILKA Schliesstechnik GmbH
06F8	BodyPlus Technology Co.,Ltd
06F9	happybrush GmbH
06FA	Enequi AB
06FB	Sartorius AG
06FC	Tom Communication Industrial Co.,Ltd.
06FD	ESS Embedded System Solutions Inc.
06FE	Mahr GmbH
06FF	Redpine Signals Inc
0700	TraqFreq LLC
0701	PAFERS TECH
0702	Akciju sabiedriba "SAF TEHNIKA"
0703	Beijing Jingdong Century Trading Co., Ltd.
0704	JBX Designs Inc.
0705	AB Electrolux
0706	Wernher von Braun Center for ASdvanced Research
0707	Essity Hygiene and Health Aktiebolag
0708	Be Interactive Co., Ltd
0709	Carewear Corp.
070B	Element Products, Inc.
070C	Beijing Winner Microelectronics Co.,Ltd
070D	SmartSnugg Pty Ltd
070E	FiveCo Sarl
070F	California Things Inc.
0710	Audiodo AB
0711	ABAX AS
0712	Bull Group Company Limited
0713	Respiri Limited
0714	MindPeace Safety LLC
0715	MBARC LABS Inc
0716	Altonics
0718	IDIBAIX enginneering
0719	COREIOT PTY LTD
071A	REVSMART WEARABLE HK CO LTD
071B	Precor
071C	F5 Sports, Inc
071D	exoTIC Systems
071E	DONGGUAN HELE ELECTRONICS CO., LTD
071F	Dongguan Liesheng Electronic Co.Ltd
0720	Oculeve, Inc.
0721	Clover Network, Inc.
0722	Xiamen Eholder Electronics Co.Ltd
0723	Ford Motor Company
0724	Guangzhou SuperSound Information Technology Co.,Ltd
0725	Tedee Sp. z o.o.
0726	PHC Corporation
0728	Eli Lilly and Company
0729	SwaraLink Technologies
072A	JMR embedded systems GmbH
072B	Bitkey Inc.
072C	GWA Hygiene GmbH
072D	Safera Oy
072E	Open Platform Systems LLC
072F	OnePlus Electronics (Shenzhen) Co., Ltd.
0730	Wildlife Acoustics, Inc.
0731	ABLIC Inc.
0732	Dairy Tech, LLC
0733	Iguanavation, Inc.
0734	DiUS Computing Pty Ltd
0735	UpRight Technologies LTD
0736	Luna XIO, Inc.
0737	LLC Navitek
0738	Glass Security Pte Ltd
0739	Jiangsu Qinheng Co., Ltd.
073A	Chandler Systems Inc.
073B	Fantini Cosmi s.p.a.
073D	Beijing Hao Heng Tian Tech Co., Ltd.
073E	Bluepack S.R.L.
073F	Beijing Unisoc Technologies Co., Ltd.
0741	MAC SRL
0742	DML LLC
0743	Sanofi
0744	SOCOMEC
0745	WIZNOVA, Inc.
0746	Seitec Elektronik GmbH
0747	OR Technologies Pty Ltd
0748	GuangZhou KuGou Computer Technology Co.Ltd
0749	DIAODIAO (Beijing) Technology Co., Ltd.
074A	Illusory Studios LLC
074B	Sarvavid Software Solutions LLP
074D	Amtech Systems, LLC
074E	EAGLE DETECTION SA
074F	MEDIATECH S.R.L.
0750	Hamilton Professional Services of Canada Incorporated
0751	Changsha JEMO IC Design Co.,Ltd
0752	Elatec GmbH
0753	JLG Industries, Inc.
0754	Michael Parkin
0755	Brother Industries, Ltd
0756	Lumens For Less, Inc
0757	ELA Innovation
0758	umanSense AB
0759	Shanghai InGeek Cyber Security Co., Ltd.
075A	HARMAN CO.,LTD.
075B	Smart Sensor Devices AB
075C	Antitronics Inc.
075D	RHOMBUS SYSTEMS, INC.
075E	Katerra Inc.
075F	Remote Solution Co., LTD.
0760	Vimar SpA
0761	Mantis Tech LLC
0762	TerOpta Ltd
0763	PIKOLIN S.L.
0764	WWZN Information Technology Company Limited
0765	Voxx International
0766	ART AND PROGRAM, INC.
0767	NITTO DENKO ASIA TECHNICAL CENTRE PTE. LTD.
0768	Peloton Interactive Inc.
0769	Force Impact Technologies
076A	Dmac Mobile Developments, LLC
076B	Engineered Medical Technologies
076C	Noodle Technology inc
076D	Graesslin GmbH
076E	WuQi technologies, Inc.
076F	Successful Endeavours Pty Ltd
0770	InnoCon Medical ApS
0771	Corvex Connected Safety
0772	Thirdwayv Inc.
0774	C-MAX Asia Limited
0775	4eBusiness GmbH
0776	Cyber Transport Control GmbH
0777	Cue
0778	KOAMTAC INC.
0779	Loopshore Oy
077A	Niruha Systems Private Limited
077C	radius co., ltd.
077D	Sensority, s.r.o.
077E	Sparkage Inc.
077F	Glenview Software Corporation
0780	Finch Technologies Ltd.
0781	Qingping Technology (Beijing) Co., Ltd.
0782	DeviceDrive AS
0783	ESEMBER LIMITED LIABILITY COMPANY
0784	audifon GmbH & Co. KG
0785	O2 Micro, Inc.
0788	BubblyNet, LLC
0789	PCB Piezotronics, Inc.
078A	The Wildflower Foundation
078B	Optikam Tech Inc.
078C	MINIBREW HOLDING B.V
078D	Cybex GmbH
078E	FUJIMIC NIIGATA, INC.
078F	Hanna Instruments, Inc.
0790	KOMPAN A/S
0791	Scosche Industries, Inc.
0792	Cricut, Inc.
0793	AEV spol. s r.o.
0794	The Coca-Cola Company
0795	GASTEC CORPORATION
0796	StarLeaf Ltd
0797	Water-i.d. GmbH
0798	HoloKit, Inc.
0799	PlantChoir Inc.
079A	GuangDong Oppo Mobile Telecommunications Corp., Ltd.
079B	CST ELECTRONICS (PROPRIETARY) LIMITED
079C	Sky UK Limited
079D	Digibale Pty Ltd
079E	Smartloxx GmbH
079F	Pune Scientific LLP
07A0	Regent Beleuchtungskorper AG
07A2	Roku, Inc.
07A4	Xiamen Mage Information Technology Co., Ltd.
07A5	RAB Lighting, Inc.
07A6	Musen Connect, Inc.
07A7	Zume, Inc.
07A8	conbee GmbH
07A9	Bruel & Kjaer Sound & Vibration
07AA	The Kroger Co.
07AB	Granite River Solutions, Inc.
07AC	LoupeDeck Oy
07AD	New H3C Technologies Co.,Ltd
07AE	Aurea Solucoes Tecnologicas Ltda.
07AF	Hong Kong Bouffalo Lab Limited
07B0	GV Concepts Inc.
07B1	Thomas Dynamics, LLC
07B2	Moeco IOT Inc.
07B3	2N TELEKOMUNIKACE a.s.
07B4	Hormann KG Antriebstechnik
07B5	CRONO CHIP, S.L.
07B6	Soundbrenner Limited
07B7	ETABLISSEMENTS GEORGES RENAULT
07B8	iSwip
07BA	Battery-Biz Inc.
07BB	EPIC S.R.L.
07BD	Genedrive Diagnostics Ltd
07BE	Axentia Technologies AB
07BF	REGULA Ltd.
07C0	Biral AG
07C2	Radinn AB
07C3	CIMTechniques, Inc.
07C4	Johnson Health Tech NA
07C5	June Life, Inc.
07C6	Bluenetics GmbH
07C7	iaconicDesign Inc.
07C8	WRLDS Creations AB
07C9	Skullcandy, Inc.
07CB	West Pharmaceutical Services, Inc.
